dataset,S0_macro_auc_mean,S0_macro_auc_sd,S1_macro_auc_mean,S1_macro_auc_sd,delta_s1_minus_s0
JNU,0.7902263374485596,0.09103730740565971,0.9064667842445621,0.027156413605887993,0.11624044679600243
HIT,0.7605692161123709,0.057023253057073,0.8116841065129755,0.09207147438197029,0.05111489040060457
MAFAULDA,0.834255691494415,0.03947197667707423,0.8429724068727541,0.05975505192877462,0.008716715378339068
Macro-3,0.7950170816851151,0.038340282647550204,0.8537077658767639,0.04191721949417026,0.0586906841916488
