dataset,arm,n_cells,accuracy_mean,accuracy_sample_sd,balanced_accuracy_mean,balanced_accuracy_sample_sd,macro_precision_mean,macro_precision_sample_sd,macro_recall_mean,macro_recall_sample_sd,macro_f1_mean,macro_f1_sample_sd,macro_ovr_auc_mean,macro_ovr_auc_sample_sd
JNU,S0,9,0.8055555555555555,0.029462782549439504,0.6185185185185186,0.045980403770130136,0.6924227439513816,0.1427139555839726,0.6185185185185186,0.045980403770130136,0.6296559272128532,0.07242643049729998,0.9088183421516755,0.030566218735381397
JNU,S1,9,0.8194444444444444,0.04166666666666668,0.6388888888888888,0.08333333333333333,0.6525845864661654,0.10527495947582514,0.6388888888888888,0.08333333333333333,0.6191242147994205,0.09465212106545125,0.9396531452087008,0.016538858890907053
HIT,S0,9,0.9257936507936508,0.07484630889127752,0.9193121693121693,0.0950454297066033,0.9413408805656679,0.055504117300364426,0.9193121693121693,0.0950454297066033,0.9233072157476752,0.08580339520390522,0.9894819617661881,0.015963251929850906
HIT,S1,9,0.9642857142857143,0.05395694617763616,0.9480820105820107,0.08941101217064762,0.974638225958619,0.03251080173547767,0.9480820105820107,0.08941101217064762,0.9487324292983641,0.09358837388014306,0.9973298926051903,0.006442361416888891
MAFAULDA,S0,9,0.7978853975073985,0.07109538190009942,0.7679664731978362,0.06602420732811512,0.8127790100103914,0.07682651698068049,0.7679664731978362,0.06602420732811512,0.7557471323086715,0.07377249494293417,0.9623827603290476,0.029875956500095568
MAFAULDA,S1,9,0.782672622790651,0.04138744756063249,0.7434777010733337,0.04451771949357044,0.7947410447584273,0.05105061243318054,0.7434777010733337,0.04451771949357044,0.7371081741635687,0.05373566783054153,0.9506568930012578,0.014682652426854808
Macro-3,S0,9,0.843078201285535,0.027115363712629986,0.7685990536761746,0.03302584424671202,0.8155142115091469,0.05046452125223542,0.7685990536761746,0.03302584424671202,0.7695700917563999,0.033130126971035026,0.953561021415637,0.017007080575936438
Macro-3,S1,9,0.8554675938402699,0.02779766211073528,0.776816200181411,0.0472167054269878,0.8073212857277372,0.034358480482898725,0.776816200181411,0.0472167054269878,0.7683216060871177,0.04826761283565406,0.9625466436050494,0.007067010737559224
