global_fold,seed,source_s1_run_id,source_s1_checkpoint,source_s1_sha256,source_s1_epoch,train_windows,validation_windows,epochs,steps_per_epoch,optimizer_steps,batch_stream_sha256
1,42,pcstev2_final_v1_s1_gf1_s42,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf1_s42/best.pt,7d6cea73ba61b3da23c73be14a8edae048276e88162517ee8d72a7c2a133ba0c,17,13542,2769,50,214,10700,699b74096d780bdd5d23128f3d7de7684ac19d33927a1c417f72ad63fe29f91e
1,1337,pcstev2_final_v1_s1_gf1_s1337,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf1_s1337/best.pt,a14075f0234c232f98d9acb0b02f6094b36c6990a85f5b44c4602c3a95920799,22,13542,2769,50,214,10700,9829ae898a1d0f71b9482d18ce30f4c510359b6e7d293e8de9c5166748b21325
1,2026,pcstev2_final_v1_s1_gf1_s2026,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf1_s2026/best.pt,cfb742f74eb4d55e8f7afceac78e176376b206619f07c6119d02d1d704cc94d2,15,13542,2769,50,214,10700,af8164298762c1b54e9ea6d7fa3e08bf5c66418d023539e1a6215ab8d0a3a9b9
2,42,pcstev2_final_v1_s1_gf2_s42,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf2_s42/best.pt,ce6becd8eb0a23a6c4e3c65a2ae8c88f02aff8101a7cb48721c17292170166c2,16,13530,2679,50,212,10600,a14c209bba2ccee48d698edaef7324c114becb0af37bfd7a6c238d4acb99a400
2,1337,pcstev2_final_v1_s1_gf2_s1337,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf2_s1337/best.pt,0e01d16be6a01b971aadcbf84df2960eb9e55435a6b3d617cf91367a27dd8a20,23,13530,2679,50,212,10600,39151bed0031d5cd9e0befdfa894e1825f07301b01d04d6fce736653db59b6eb
2,2026,pcstev2_final_v1_s1_gf2_s2026,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf2_s2026/best.pt,847b7190d095f8734eb4c2aecc5bce34cf05a4d7e587a9dc6f7e32a9e1ee92eb,17,13530,2679,50,212,10600,8de0fe7e97aeb2a17dd134041127799a84c5e8d6a380aeaaa216f58dccf6bbca
3,42,pcstev2_final_v1_s1_gf3_s42,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf3_s42/best.pt,7ed58dacc4f7cdc35b4f313396a03b30dfe23d59e20cab1477d56335d8c13b89,32,13920,2824,50,223,11150,2efc74989f4708b9443ae86f2e94dc3e2ab4f0350f721d73befc95df7cf9b86a
3,1337,pcstev2_final_v1_s1_gf3_s1337,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf3_s1337/best.pt,9b0b6e7f60e06755382f48a40537d2c9860398b17e9bc68809876a6533052cb4,29,13920,2824,50,223,11150,3a7571030af82605bbb20a16ab356327236ac8b797f330b0ddcc37c382ed26f9
3,2026,pcstev2_final_v1_s1_gf3_s2026,results/pcste_v2/final_v1/pcstev2_final_v1_s1_gf3_s2026/best.pt,57caf78847b988f0a46fea21260043422681c6b28af435b82a8e4a2b8d3eb515,14,13920,2824,50,223,11150,6574aa23907ff47a2c441a6770c2c8329c92da989009b113a03292a600b56309
