window_id,dataset,P0_zero,P1_temporal_neighbour,P2_frequency_neighbour
f1:CWRU:cwru_X109:DE:train:96000-144000,CWRU,3.30582346569111,2.5388914917162735,3.134740626940711
f1:CWRU:cwru_X111:DE:train:216000-264000,CWRU,0.6805806433202204,0.8141735530397755,1.0966160727472547
f1:CWRU:cwru_X112:DE:train:216000-264000,CWRU,0.6415214988165977,0.7544909986257258,1.0090319313742164
f1:CWRU:cwru_X189:DE:train:96000-144000,CWRU,0.6735974460499737,0.2633462231837742,0.31984324934354197
f1:CWRU:cwru_X191:DE:train:216000-264000,CWRU,0.7016318341874841,0.25331194868016876,0.2910149167947136
f1:CWRU:cwru_X192:DE:train:216000-264000,CWRU,0.6022644503652548,0.32013252340877285,0.36506651627101
f1:CWRU:cwru_X238:DE:train:96000-144000,CWRU,0.9740432384864564,1.625405330649751,1.0547022859728479
f1:CWRU:cwru_X240:DE:train:216000-264000,CWRU,1.1098616585127599,1.8650521082504208,0.9709590355092759
f1:CWRU:cwru_X241:DE:train:216000-264000,CWRU,0.893206745155226,1.554561456842172,0.9307194088961176
f1:CWRU:cwru_X250:DE:train:48000-96000,CWRU,0.6593808292464853,0.9172259983974759,0.8891839205854096
f1:CWRU:cwru_X252:DE:train:216000-264000,CWRU,1.9339784949144687,2.3284983651073756,1.764097815193018
f1:CWRU:cwru_X253:DE:train:216000-264000,CWRU,1.8599359207092518,2.0852383552793605,1.7455029283345405
f1:CWRU:cwru_X262:DE:train:48000-96000,CWRU,0.6480105728640954,0.6366355506393562,0.7226077888581292
f1:CWRU:cwru_X264:DE:train:216000-264000,CWRU,0.5436261866381673,0.5714689363675087,0.4908273557208583
f1:CWRU:cwru_X265:DE:train:216000-264000,CWRU,0.5596604714476939,0.537783775297868,0.49926350298722033
f1:HIT:hit_data1_rec00:ch3:train:175000-200000,HIT,0.9229665941490003,1.1286264364826584,1.6061933079837798
f1:HIT:hit_data1_rec25:ch3:train:175000-200000,HIT,0.8614610184636745,1.1261488536619173,1.5685467507432698
f1:HIT:hit_data2_rec24:ch3:train:175000-200000,HIT,1.2638702824309511,1.4822852142849514,1.9121059867460255
f1:HIT:hit_data3_rec00:ch3:train:175000-200000,HIT,1.3384120483381923,0.5478298733001871,1.2792202494625151
f1:HIT:hit_data4_rec00:ch3:train:175000-200000,HIT,0.7742340930978915,1.0389178714653264,1.3810039703067838
f1:HIT:hit_data4_rec27:ch3:train:175000-200000,HIT,0.8053198395825921,1.186742509707172,1.5032310614125035
f1:HIT:hit_data5_rec00:ch3:train:175000-200000,HIT,1.1552272015570837,0.7956423558094028,1.3785735023162877
f1:HIT:hit_data5_rec14:ch3:train:175000-200000,HIT,0.890581697591723,1.1451359044661742,1.664169927203906
f1:HIT:hit_data5_rec23:ch3:train:175000-200000,HIT,0.9750094576295983,1.3252074510383243,1.7977670055136983
f1:JNU:jnu_ib1000_2:B:acc_vertical:train:125100-175100,JNU,1.8368776847871928,2.241375223922928,1.3140836224376864
f1:JNU:jnu_ib600_2:B:acc_vertical:train:125100-175100,JNU,0.8170793067505773,1.1175224899778622,0.6986944063359087
f1:JNU:jnu_ib800_2:B:acc_vertical:train:125100-175100,JNU,1.1808934120094807,1.7458304708322867,1.083307660259345
f1:JNU:jnu_n1000_3_2:B:acc_vertical:train:425300-475300,JNU,0.6652718281489355,1.0060315829775544,1.0345469566584549
f1:JNU:jnu_n600_3_2:B:acc_vertical:train:425300-475300,JNU,0.8398831828088004,0.462569760978202,0.44666283308935567
