dataset,inceptiontime_mean,inceptiontime_sample_sd,full_s1_mean,full_s1_sample_sd,delta_full_s1_minus_inceptiontime
CWRU,0.14399512900152767,0.08227603592565919,0.32340077806834333,0.12863212284221479,0.1794056490668157
JNU,0.28349326251695534,0.10834869268566412,0.980952380952381,0.037796447300922686,0.6974591184354256
HIT,0.4762297674970147,0.2232872103399377,0.9755005263976548,0.022741172349011896,0.49927075890064
MAFAULDA,0.22284749799295067,0.0817404154242269,0.8033104128068106,0.06262399187878732,0.58046291481386
