fold,seed,CWRU_macro_f1,JNU_macro_f1,HIT_macro_f1,MAFAULDA_macro_f1,macro4_f1
1,42,0.16666666666666666,0.34558823529411764,0.19047619047619047,0.2489587294879693,0.237922455481236
1,1337,0.2561728395061728,0.30833333333333335,0.3820160998125364,0.16069858838459367,0.2768052152591591
1,2026,0.044444444444444446,0.2882352941176471,0.3308641975308642,0.20303484642242475,0.21664469562884514
2,42,0.11860940695296524,0.244047619047619,0.7131652661064426,0.1402102540447929,0.30400813653795494
2,1337,0.019157088122605363,0.06818181818181818,0.8338962255883403,0.12278253254742444,0.2610044161100471
2,2026,0.11725293132328309,0.4351851851851852,0.7149126043933206,0.19940435110416282,0.3666887680014879
3,42,0.2528735632183908,0.19230769230769232,0.4377747677098928,0.3542040833250705,0.3092900266402616
3,1337,0.13030303030303028,0.2851851851851852,0.4061675796307567,0.23651529508972544,0.2645427725521744
3,2026,0.19047619047619047,0.384375,0.2767949762247889,0.339818801530392,0.29786624205784284
