class,s0_precision_mean,s0_precision_sd,s0_recall_mean,s0_recall_sd,s0_f1_mean,s0_f1_sd,s0_roc_auc_mean,s0_roc_auc_sd,s0_support_mean,s0_support_sd,s1_precision_mean,s1_precision_sd,s1_recall_mean,s1_recall_sd,s1_f1_mean,s1_f1_sd,s1_roc_auc_mean,s1_roc_auc_sd,s1_support_mean,s1_support_sd
healthy,0.9752414088697274,0.04797448571653213,0.9900793650793651,0.02338725244866325,0.9818091556429942,0.025770470372484793,0.9998818972033258,0.00035430839002266923,112.0,0.0,0.96004280394413,0.05376873039032754,0.9851190476190477,0.04140008256917725,0.9710130744523343,0.03043114334347865,0.9935545398715041,0.016324398606070243,112.0,0.0
inner race fault,0.9759085343102691,0.04008837578766767,0.9861111111111112,0.024900596027799843,0.9805344678504913,0.025852583798438147,0.998754015495087,0.003445409994823001,112.0,0.0,0.9952516619183286,0.01424501424501427,0.9593253968253967,0.05907569417047383,0.9759716141126282,0.030400331688488703,0.993622448979592,0.01913265306122447,112.0,0.0
outer race fault,1.0,0.0,0.9404761904761906,0.165600330276709,0.960942760942761,0.11051723752346224,0.9986802012471655,0.003959396258503389,56.0,0.0,0.9777777777777779,0.06666666666666665,0.9841269841269842,0.02436116896390608,0.9795168906280018,0.036114928004162675,1.0,0.0,56.0,0.0
