class,s0_precision_mean,s0_precision_sd,s0_recall_mean,s0_recall_sd,s0_f1_mean,s0_f1_sd,s0_roc_auc_mean,s0_roc_auc_sd,s1_precision_mean,s1_precision_sd,s1_recall_mean,s1_recall_sd,s1_f1_mean,s1_f1_sd,s1_roc_auc_mean,s1_roc_auc_sd
inner race fault,0.2675,0.4241,0.2476,0.4314,0.1185,0.1649,0.4866,0.3520,0.1619,0.3254,0.3214,0.4410,0.1764,0.2835,0.5100,0.3819
outer race fault,0.3117,0.3855,0.3075,0.4117,0.2797,0.3443,0.3775,0.2444,0.2334,0.3322,0.2714,0.4020,0.2486,0.3627,0.3939,0.2456
rolling element fault,0.5751,0.3141,0.6952,0.3891,0.5618,0.2887,0.8176,0.1551,0.5649,0.3512,0.5937,0.3619,0.5452,0.3016,0.8143,0.1862
