dataset,s0_accuracy_mean,s0_accuracy_sd,s0_balanced_accuracy_mean,s0_balanced_accuracy_sd,s0_macro_precision_mean,s0_macro_precision_sd,s0_macro_f1_mean,s0_macro_f1_sd,s0_macro_auc_ovr_mean,s0_macro_auc_ovr_sd,s1_accuracy_mean,s1_accuracy_sd,s1_balanced_accuracy_mean,s1_balanced_accuracy_sd,s1_macro_precision_mean,s1_macro_precision_sd,s1_macro_f1_mean,s1_macro_f1_sd,s1_macro_auc_ovr_mean,s1_macro_auc_ovr_sd,delta_f1_s1_minus_s0,delta_auc_s1_minus_s0
CWRU,0.4161,0.1114,0.4168,0.1079,0.3848,0.1204,0.3200,0.0902,0.5606,0.1414,0.3840,0.1776,0.3955,0.1633,0.3201,0.1368,0.3234,0.1286,0.5727,0.1469,0.0034,0.0121
JNU,0.9954,0.0139,0.9907,0.0278,0.9931,0.0208,0.9905,0.0286,1.0000,0.0000,0.9907,0.0184,0.9815,0.0367,0.9861,0.0276,0.9810,0.0378,1.0000,0.0000,-0.0095,0.0000
HIT,0.9786,0.0366,0.9722,0.0573,0.9837,0.0270,0.9744,0.0519,0.9991,0.0025,0.9746,0.0240,0.9762,0.0201,0.9777,0.0233,0.9755,0.0227,0.9957,0.0118,0.0011,-0.0034
MaFaulDa,0.8221,0.0859,0.8330,0.0830,0.8209,0.1038,0.7994,0.1015,0.9804,0.0148,0.8352,0.0540,0.8503,0.0448,0.8301,0.0700,0.8033,0.0626,0.9874,0.0074,0.0039,0.0070
Macro-4,0.8030,0.0175,0.8032,0.0389,0.7956,0.0399,0.7711,0.0330,0.8850,0.0359,0.7962,0.0426,0.8009,0.0380,0.7785,0.0365,0.7708,0.0344,0.8890,0.0374,-0.0003,0.0040
