fold,seed,source_fp32_val_f1,q8_val_f1,delta_q8_minus_fp32
1,42,0.8548001503632264,0.8548001503632264,0.0
1,1337,0.8616930773433094,0.8623325289496118,0.0006394516063024103
1,2026,0.8621180633667088,0.8621180633667088,0.0
2,42,0.8095656267811057,0.8099190631807246,0.0003534363996189338
2,1337,0.7730542418505957,0.7730549608214323,7.189708366439618e-07
2,2026,0.7885129481227481,0.7882965409498721,-0.00021640717287596534
3,42,0.7295557732501943,0.7292568988027319,-0.0002988744474623495
3,1337,0.7996118494693294,0.8000424312930499,0.00043058182372046616
3,2026,0.7825878629719183,0.7824149590256276,-0.00017290394629065897
