arm,fold,seed,dataset,numeric_or_original_label,class,precision,recall,f1,support,roc_auc,positive_n,negative_n
S0,2,42,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S0,2,42,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S0,2,42,JNU,ob,outer race fault,1.0,1.0,1.0,3,1.0,3,21
S0,2,42,JNU,tb,rolling element fault,1.0,1.0,1.0,3,1.0,3,21
S0,2,42,HIT,0,healthy,1.0,1.0,1.0,112,1.0,112,168
S0,2,42,HIT,1,inner race fault,1.0,1.0,1.0,112,1.0,112,168
S0,2,42,HIT,2,outer race fault,1.0,1.0,1.0,56,1.0,56,224
S0,2,42,MaFaulDa,normal,normal,0.5869565217391305,0.7714285714285715,0.6666666666666667,35,0.9956959236136613,35,1945
S0,2,42,MaFaulDa,imbalance,imbalance,0.6504297994269341,0.926530612244898,0.7643097643097644,245,0.9623631123919308,245,1735
S0,2,42,MaFaulDa,horizontal-misalignment,horizontal-misalignment,1.0,0.0081632653061224,0.0161943319838056,245,0.7679115450214667,245,1735
S0,2,42,MaFaulDa,vertical-misalignment,vertical-misalignment,0.6524064171122995,0.976,0.782051282051282,250,0.9860323699421966,250,1730
S0,2,42,MaFaulDa,underhang/ball_fault,underhang/ball fault,0.9588235294117649,0.8578947368421053,0.9055555555555556,190,0.9899588356365774,190,1790
S0,2,42,MaFaulDa,underhang/cage_fault,underhang/cage fault,0.569620253164557,0.5625,0.5660377358490567,240,0.9337140804597701,240,1740
S0,2,42,MaFaulDa,underhang/outer_race,underhang/outer race,0.4840425531914893,0.4918918918918919,0.4879356568364611,185,0.9483339607016487,185,1795
S0,2,42,MaFaulDa,overhang/ball_fault,overhang/ball fault,0.8403361344537815,1.0,0.91324200913242,100,0.9996648936170213,100,1880
S0,2,42,MaFaulDa,overhang/cage_fault,overhang/cage fault,0.975,0.9551020408163264,0.9649484536082472,245,0.9994965594306887,245,1735
S0,2,42,MaFaulDa,overhang/outer_race,overhang/outer race,0.9333333333333332,0.9714285714285714,0.952,245,0.9991366229488914,245,1735
S0,2,1337,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S0,2,1337,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S0,2,1337,JNU,ob,outer race fault,1.0,1.0,1.0,3,1.0,3,21
S0,2,1337,JNU,tb,rolling element fault,1.0,1.0,1.0,3,1.0,3,21
S0,2,1337,HIT,0,healthy,1.0,0.9910714285714286,0.9955156950672646,112,1.0,112,168
S0,2,1337,HIT,1,inner race fault,0.991150442477876,1.0,0.9955555555555556,112,1.0,112,168
S0,2,1337,HIT,2,outer race fault,1.0,1.0,1.0,56,1.0,56,224
S0,2,1337,MaFaulDa,normal,normal,0.1711711711711711,0.5428571428571428,0.2602739726027397,35,0.8847447668013221,35,1945
S0,2,1337,MaFaulDa,imbalance,imbalance,0.7605042016806722,0.7387755102040816,0.7494824016563147,245,0.9531329765335529,245,1735
S0,2,1337,MaFaulDa,horizontal-misalignment,horizontal-misalignment,0.9802631578947368,0.6081632653061224,0.7506297229219142,245,0.9944856789978238,245,1735
S0,2,1337,MaFaulDa,vertical-misalignment,vertical-misalignment,0.9669421487603306,0.936,0.951219512195122,250,0.9980462427745664,250,1730
S0,2,1337,MaFaulDa,underhang/ball_fault,underhang/ball fault,0.765625,0.2578947368421053,0.3858267716535433,190,0.9815436636283446,190,1790
S0,2,1337,MaFaulDa,underhang/cage_fault,underhang/cage fault,0.5194805194805194,0.8333333333333334,0.64,240,0.9467528735632185,240,1740
S0,2,1337,MaFaulDa,underhang/outer_race,underhang/outer race,0.8068181818181818,0.7675675675675676,0.7867036011080332,185,0.9637340962132048,185,1795
S0,2,1337,MaFaulDa,overhang/ball_fault,overhang/ball fault,0.8333333333333334,1.0,0.9090909090909092,100,0.9998297872340426,100,1880
S0,2,1337,MaFaulDa,overhang/cage_fault,overhang/cage fault,0.9458128078817734,0.7836734693877551,0.8571428571428571,245,0.9957913309415986,245,1735
S0,2,1337,MaFaulDa,overhang/outer_race,overhang/outer race,0.8235294117647058,0.9714285714285714,0.8913857677902621,245,0.9978733164735636,245,1735
S0,2,2026,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S0,2,2026,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S0,2,2026,JNU,ob,outer race fault,1.0,1.0,1.0,3,1.0,3,21
S0,2,2026,JNU,tb,rolling element fault,1.0,1.0,1.0,3,1.0,3,21
S0,2,2026,HIT,0,healthy,1.0,0.9285714285714286,0.962962962962963,112,1.0,112,168
S0,2,2026,HIT,1,inner race fault,0.9333333333333332,1.0,0.9655172413793104,112,1.0,112,168
S0,2,2026,HIT,2,outer race fault,1.0,1.0,1.0,56,1.0,56,224
S0,2,2026,MaFaulDa,normal,normal,0.297029702970297,0.8571428571428571,0.4411764705882353,35,0.9535512302607418,35,1945
S0,2,2026,MaFaulDa,imbalance,imbalance,0.7544642857142857,0.689795918367347,0.720682302771855,245,0.9710592248426748,245,1735
S0,2,2026,MaFaulDa,horizontal-misalignment,horizontal-misalignment,0.0,0.0,0.0,245,0.9327577486325942,245,1735
S0,2,2026,MaFaulDa,vertical-misalignment,vertical-misalignment,0.6756756756756757,1.0,0.8064516129032258,250,0.9867630057803468,250,1730
S0,2,2026,MaFaulDa,underhang/ball_fault,underhang/ball fault,1.0,0.7947368421052632,0.8856304985337243,190,0.9997530138194648,190,1790
S0,2,2026,MaFaulDa,underhang/cage_fault,underhang/cage fault,0.5482456140350878,0.5208333333333334,0.5341880341880342,240,0.9260153256704982,240,1740
S0,2,2026,MaFaulDa,underhang/outer_race,underhang/outer race,0.3366013071895425,0.5567567567567567,0.4195519348268839,185,0.9006218474742154,185,1795
S0,2,2026,MaFaulDa,overhang/ball_fault,overhang/ball fault,0.9174311926605504,1.0,0.9569377990430622,100,1.0,100,1880
S0,2,2026,MaFaulDa,overhang/cage_fault,overhang/cage fault,1.0,0.8285714285714286,0.90625,245,0.9985837793330589,245,1735
S0,2,2026,MaFaulDa,overhang/outer_race,overhang/outer race,0.8506944444444444,1.0,0.9193245778611632,245,0.9996777039345998,245,1735
S0,3,42,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S0,3,42,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S0,3,42,JNU,ob,outer race fault,1.0,1.0,1.0,3,1.0,3,21
S0,3,42,JNU,tb,rolling element fault,1.0,1.0,1.0,3,1.0,3,21
S0,3,42,HIT,0,healthy,1.0,1.0,1.0,112,1.0,112,168
S0,3,42,HIT,1,inner race fault,1.0,1.0,1.0,112,1.0,112,168
S0,3,42,HIT,2,outer race fault,1.0,1.0,1.0,56,1.0,56,224
S0,3,42,MaFaulDa,normal,normal,1.0,1.0,1.0,35,1.0,35,1995
S0,3,42,MaFaulDa,imbalance,imbalance,0.5975609756097561,1.0,0.748091603053435,245,0.9954427485279826,245,1785
S0,3,42,MaFaulDa,horizontal-misalignment,horizontal-misalignment,1.0,0.9755102040816328,0.987603305785124,245,0.9997187446407134,245,1785
S0,3,42,MaFaulDa,vertical-misalignment,vertical-misalignment,1.0,0.968,0.983739837398374,250,0.9999550561797753,250,1780
S0,3,42,MaFaulDa,underhang/ball_fault,underhang/ball fault,1.0,1.0,1.0,245,1.0,245,1785
S0,3,42,MaFaulDa,underhang/cage_fault,underhang/cage fault,1.0,0.2857142857142857,0.4444444444444445,210,0.9728048142333856,210,1820
S0,3,42,MaFaulDa,underhang/outer_race,underhang/outer race,0.9887005649717514,0.945945945945946,0.9668508287292816,185,0.9987196953050611,185,1845
S0,3,42,MaFaulDa,overhang/ball_fault,overhang/ball fault,1.0,1.0,1.0,125,1.0,125,1905
S0,3,42,MaFaulDa,overhang/cage_fault,overhang/cage fault,0.7980456026058632,1.0,0.8876811594202899,245,0.9977934030755159,245,1785
S0,3,42,MaFaulDa,overhang/outer_race,overhang/outer race,0.963157894736842,0.746938775510204,0.8413793103448276,245,0.9947567598467958,245,1785
S0,3,1337,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S0,3,1337,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S0,3,1337,JNU,ob,outer race fault,1.0,1.0,1.0,3,1.0,3,21
S0,3,1337,JNU,tb,rolling element fault,1.0,1.0,1.0,3,1.0,3,21
S0,3,1337,HIT,0,healthy,1.0,1.0,1.0,112,1.0,112,168
S0,3,1337,HIT,1,inner race fault,1.0,1.0,1.0,112,1.0,112,168
S0,3,1337,HIT,2,outer race fault,1.0,1.0,1.0,56,1.0,56,224
S0,3,1337,MaFaulDa,normal,normal,1.0,1.0,1.0,35,1.0,35,1995
S0,3,1337,MaFaulDa,imbalance,imbalance,0.7142857142857143,1.0,0.8333333333333333,245,0.9991493740353283,245,1785
S0,3,1337,MaFaulDa,horizontal-misalignment,horizontal-misalignment,0.98744769874477,0.963265306122449,0.975206611570248,245,0.9998079231692677,245,1785
S0,3,1337,MaFaulDa,vertical-misalignment,vertical-misalignment,1.0,0.872,0.9316239316239316,250,0.9969303370786516,250,1780
S0,3,1337,MaFaulDa,underhang/ball_fault,underhang/ball fault,0.8241379310344827,0.9755102040816328,0.8934579439252336,245,0.9974435488481106,245,1785
S0,3,1337,MaFaulDa,underhang/cage_fault,underhang/cage fault,0.5833333333333334,0.0666666666666666,0.1196581196581196,210,0.7968550497121926,210,1820
S0,3,1337,MaFaulDa,underhang/outer_race,underhang/outer race,0.563076923076923,0.9891891891891892,0.7176470588235293,185,0.9946194975463267,185,1845
S0,3,1337,MaFaulDa,overhang/ball_fault,overhang/ball fault,0.984251968503937,1.0,0.992063492063492,125,1.0,125,1905
S0,3,1337,MaFaulDa,overhang/cage_fault,overhang/cage fault,0.9954337899543378,0.889795918367347,0.9396551724137931,245,0.9981867032527296,245,1785
S0,3,1337,MaFaulDa,overhang/outer_race,overhang/outer race,0.9571428571428572,0.8204081632653061,0.8835164835164836,245,0.9856902761104442,245,1785
S0,3,2026,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S0,3,2026,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S0,3,2026,JNU,ob,outer race fault,1.0,1.0,1.0,3,1.0,3,21
S0,3,2026,JNU,tb,rolling element fault,1.0,1.0,1.0,3,1.0,3,21
S0,3,2026,HIT,0,healthy,0.9333333333333332,1.0,0.9655172413793104,112,1.0,112,168
S0,3,2026,HIT,1,inner race fault,1.0,0.9285714285714286,0.962962962962963,112,0.9998405612244898,112,168
S0,3,2026,HIT,2,outer race fault,1.0,1.0,1.0,56,1.0,56,224
S0,3,2026,MaFaulDa,normal,normal,0.9722222222222222,1.0,0.9859154929577464,35,1.0,35,1995
S0,3,2026,MaFaulDa,imbalance,imbalance,0.8566433566433567,1.0,0.9227871939736346,245,0.9999771337106271,245,1785
S0,3,2026,MaFaulDa,horizontal-misalignment,horizontal-misalignment,1.0,0.710204081632653,0.8305489260143197,245,0.9912536443148687,245,1785
S0,3,2026,MaFaulDa,vertical-misalignment,vertical-misalignment,1.0,0.956,0.9775051124744376,250,0.9989797752808989,250,1780
S0,3,2026,MaFaulDa,underhang/ball_fault,underhang/ball fault,0.9959349593495936,1.0,0.9979633401221996,245,1.0,245,1785
S0,3,2026,MaFaulDa,underhang/cage_fault,underhang/cage fault,0.9615384615384616,0.4761904761904761,0.6369426751592356,210,0.94216378859236,210,1820
S0,3,2026,MaFaulDa,underhang/outer_race,underhang/outer race,0.61,0.9891891891891892,0.754639175257732,185,0.9863941990771259,185,1845
S0,3,2026,MaFaulDa,overhang/ball_fault,overhang/ball fault,0.8445945945945946,1.0,0.9157509157509156,125,1.0,125,1905
S0,3,2026,MaFaulDa,overhang/cage_fault,overhang/cage fault,0.7903225806451613,1.0,0.8828828828828829,245,0.9995403875836049,245,1785
S0,3,2026,MaFaulDa,overhang/outer_race,overhang/outer race,0.9679144385026738,0.7387755102040816,0.8379629629629629,245,0.998204996284228,245,1785
S1,1,42,JNU,n,healthy,1.0,1.0,1.0,15,1.0,15,9
S1,1,42,JNU,ib,inner race fault,1.0,1.0,1.0,3,1.0,3,21
S1,1,42,JNU,ob,outer race fault,0.75,1.0,0.8571428571428571,3,1.0,3,21
S1,1,42,JNU,tb,rolling element fault,1.0,0.6666666666666666,0.8,3,1.0,3,21
S1,1,42,HIT,0,healthy,0.9824561403508772,1.0,0.991150442477876,112,1.0,112,168
S1,1,42,HIT,1,inner race fault,1.0,1.0,1.0,112,1.0,112,168
S1,1,42,HIT,2,outer race fault,1.0,0.9642857142857144,0.9818181818181818,56,1.0,56,224
S1,1,42,MaFaulDa,normal,normal,0.2892561983471074,1.0,0.4487179487179487,35,0.9997467532467532,35,2200
S1,1,42,MaFaulDa,imbalance,imbalance,0.6323119777158774,0.9659574468085106,0.7643097643097644,235,0.9805287234042553,235,2000
S1,1,42,MaFaulDa,horizontal-misalignment,horizontal-misalignment,1.0,0.0204081632653061,0.0399999999999999,245,0.898432981232694,245,1990
S1,1,42,MaFaulDa,vertical-misalignment,vertical-misalignment,0.8928571428571429,1.0,0.9433962264150944,250,0.999968765743073,250,1985
