dataset,mse_mean,mse_sd,nmse_mean,nmse_sd,mae_mean,mae_sd,r2_mean,r2_sd,pearson_r_mean,pearson_r_sd,spearman_rho_mean,spearman_rho_sd
JNU,0.659724045735068,0.015770309009032642,0.6646091057113926,0.010744539396192292,0.6095608155911398,0.008521068364004373,0.09735342709622022,0.013338726506632927,0.3219903799393824,0.011625960449715074,0.27382576793693814,0.012091464898366792
HIT,0.6153471308867225,0.028556351143144473,0.6068872326361912,0.026015071153830994,0.615970348560422,0.016626921376638175,0.3429611342946871,0.017506722715202518,0.5806583399314111,0.012713575654125274,0.5390337659834138,0.00531929351244145
MaFaulDa,0.4557506851720052,0.02107562479781865,0.5807340112471403,0.0050454770522474456,0.5187729478741051,0.007811308409516995,0.24229175512857498,0.00975872619484225,0.4831424208065709,0.008163745126717751,0.42855915989998716,0.008014672001620262
Macro-3,0.5769406205979319,0.019742861441225782,0.6174101165315746,0.007680962993642739,0.5814347040085557,0.010180795220634852,0.22753543883982744,0.007553996394254928,0.46193038022578814,0.007553394082788119,0.41380623127344635,0.006723254958532724
