scope,dataset,full_s1_flops_g,k1_flops_g,full_s1_scan_steps,k1_scan_steps,full_s1_cpu_mean_ms,full_s1_cpu_sample_sd_ms,k1_cpu_mean_ms,k1_cpu_sample_sd_ms,q8_k1_cpu_mean_ms,q8_k1_cpu_sample_sd_ms,full_s1_gpu_mean_ms,full_s1_gpu_sample_sd_ms,k1_gpu_mean_ms,k1_gpu_sample_sd_ms,full_s1_peak_gpu_mib,k1_peak_gpu_mib
dataset,CWRU,3.375500928,1.854049920,184,92,23.968042992444445,0.7234124567924715,12.619483440222222,0.37688538538115895,12.170366542666667,0.07910518063579644,7.461362009684245,0.035716799747613465,4.0637667299906415,0.011142809983990176,33.228515625,28.2783203125
dataset,JNU,3.521685504,1.934137344,192,96,24.79760159688889,0.805074048814402,13.057838558,0.36252484370472804,12.615295098888888,0.11861471222405263,7.734294946564568,0.02984670224885769,4.1836027821434865,0.015896812375551534,33.5625,28.564453125
dataset,HIT,1.814201984,0.996374144,192,96,15.334296671333334,0.32189040215072184,8.143243260444443,0.1583704404205818,8.172971847777777,0.043333066985789384,7.71905268383026,0.03676371599765754,4.179123271518283,0.01909431010993341,25.58642578125,21.15087890625
dataset,MaFaulDa,3.521687808,1.934139648,192,96,24.857536982,0.8900879141937909,13.097152605333333,0.3109117971935335,12.606080739333333,0.11938611182690738,7.740680398411221,0.02895113867639666,4.185274929470486,0.01709026953892609,33.5625,28.564453125
four_domain_equal_mean,ALL,3.058269056,1.679675264,,,22.239369560666667,0.6728327613850233,11.729429466000001,0.2985267903329993,11.391178557166667,0.07278868534948313,7.663847509622574,0.029469210858758463,4.1529419282807245,0.013052227290146436,33.562500,28.564453125
