model,device,jnu_mean_ms,hit_mean_ms,mafaulda_mean_ms,equal_domain_mean_ms,equal_domain_sd_ms,median_ms,p95_ms,windows_per_second,speedup_vs_full,latency_reduction_percent,speedup_vs_k1,latency_reduction_vs_k1_percent
Full S1,cpu,25.090113472,15.541430480444445,25.05129387088889,21.894279274444443,0.6328548880028104,22.089053281333335,22.320504186799997,45.67403144287217,1.0,0.0,,
K1,cpu,13.30308549288889,8.287418460444444,13.306287158666667,11.632263704000001,0.31924603340890995,11.738170210666667,11.826714903733333,85.96778971371916,1.8822027965988795,46.87076218317232,,
Q8(K1),cpu,12.719731819555555,8.253790648222223,12.827004826888889,11.266842431555554,0.16754296563121424,11.309277888666665,11.394744843066666,88.75601181740635,1.9432489100161858,48.53978845192452,1.032433334775411,3.141445910642393
Full S1,cuda,7.8120850310855445,7.782963221126132,7.796156291219924,7.7970681811438665,0.01702358255675273,7.79842705821991,7.819774896176656,128.2533353265221,1.0,0.0,,
K1,cuda,4.226192215283712,4.223991659058465,4.210273614777459,4.220152496373212,0.010788434579298307,4.223133631070454,4.232924597930908,236.95826178305103,1.847579723207786,45.87513667535871,,
